Array Size, Sustained Memory Bandwidth [GB/s]
10,26.3504
11,33.336499999999994
12,42.641200000000005
13,53.81379999999999
14,63.5308
15,77.16420000000001
16,89.3081
17,106.1
18,119.17800000000003
19,138.01
20,152.259
21,169.266
22,183.51600000000002
23,201.28799999999998
24,218.10700000000003
25,234.12600000000003
26,252.95300000000003
27,271.80800000000005
28,256.88500000000005
29,297.93000000000006
30,316.2099999999999
31,326.728
32,336.1430000000001
33,355.544
34,365.629
35,374.87199999999996
36,376.817
37,391.625
38,403.03700000000003
39,411.06000000000006
40,421.351
41,413.80600000000004
42,433.977
43,438.86199999999997
44,307.186
45,446.94500000000005
46,427.69800000000004
47,451.67699999999996
48,442.082
49,432.33899999999994
50,415.87600000000003
51,412.564
52,404.633
53,403.51699999999994
54,400.801
55,411.567
56,415.54799999999994
57,412.92600000000004
58,422.604
59,433.116
60,320.852
61,432.32700000000006
62,432.78599999999994
63,438.36
64,433.48900000000003
65,443.16400000000004
66,432.953
67,433.49300000000005
68,436.524
69,441.26599999999996
70,438.88199999999995
71,435.297
72,448.198
73,455.541
74,467.321
75,445.802
76,422.255
77,442.453
78,434.532
79,457.14099999999996
80,451.84499999999997
81,396.48699999999997
82,455.799
83,434.38500000000005
84,455.26899999999995
85,469.341
86,464.015
87,340.01699999999994
88,472.09000000000003
89,463.00699999999995
90,469.86500000000007
91,462.02299999999997
92,324.67599999999993
93,452.7660000000001
94,472.38500000000005
95,472.78599999999994
96,474.35
97,466.03900000000004
98,467.008
99,486.666
100,470.174
101,465.7610000000001
102,483.95799999999997
103,465.883
104,473.09400000000005
105,462.928
106,484.20400000000006
107,475.7949999999999
108,475.651
109,493.62999999999994
110,489.83000000000004
111,482.67600000000004
112,478.0110000000001
113,489.97799999999995
114,458.22599999999994
115,484.40599999999995
116,486.026
117,462.45799999999997
118,490.06499999999994
119,489.12399999999997
120,475.39099999999996
121,498.93899999999996
122,485.75
123,478.701
124,437.475
125,470.89499999999987
126,500.111
127,334.71999999999997
128,437.85600000000005
129,465.628
130,494.988
131,502.564
132,419.247
133,397.50800000000004
134,402.473
135,489.6089999999999
136,497.715
137,499.052
138,472.04800000000006
139,502.62600000000003
140,476.27599999999995
141,493.371
142,403.9620000000001
143,491.454
144,471.30100000000004
145,460.53999999999996
146,495.2219999999999
147,434.84700000000004
148,495.608
149,496.846
150,500.30600000000004
151,502.159
152,353.475
153,352.765
154,496.046
155,507.468
156,448.439
157,496.40500000000003
158,505.11400000000003
159,465.688
160,500.267
161,501.13
162,505.16099999999994
163,470.95599999999996
164,442.158
165,499.288
166,496.3179999999999
167,343.944
168,524.72
169,460.371
170,432.97799999999995
171,506.187
172,477.60699999999997
173,410.12700000000007
174,508.28099999999995
175,419.02799999999996
176,382.53000000000003
177,509.765
178,411.175
179,417.63199999999995
180,496.741
