Array Size, Sustained Memory Bandwidth [GB/s]
10,42.9046
11,55.226800000000004
12,70.4963
13,88.92989999999999
14,106.867
15,128.404
16,150.88899999999998
17,177.426
18,201.025
19,231.94500000000002
20,256.824
21,285.783
22,312.5290000000001
23,333.062
24,366.89400000000006
25,393.26599999999996
26,423.637
27,453.7129999999999
28,434.684
29,491.758
30,518.122
31,532.567
32,553.6890000000001
33,579.22
34,571.284
35,604.7429999999999
36,608.4200000000001
37,638.558
38,620.461
39,670.612
40,682.442
41,657.5600000000001
42,684.6890000000001
43,683.861
44,426.99399999999997
45,696.5219999999999
46,668.943
47,692.895
48,679.463
49,664.4040000000001
50,657.0269999999999
51,635.4150000000001
52,629.582
53,637.6270000000001
54,597.5229999999999
55,606.701
56,613.5809999999999
57,623.505
58,632.725
59,637.077
60,551.856
61,644.0749999999999
62,655.1339999999999
63,676.3309999999999
64,600.4419999999999
65,669.66
66,672.7789999999999
67,653.3810000000001
68,658.7030000000001
69,683.0930000000001
70,702.3300000000002
71,643.0600000000001
72,653.547
73,674.784
74,712.133
75,699.521
76,691.9019999999999
77,690.2010000000001
78,650.242
79,695.234
80,700.614
81,567.795
82,678.535
83,649.032
84,706.3679999999999
85,722.3239999999998
86,723.887
87,514.628
88,722.9080000000001
89,715.2629999999999
90,707.9929999999999
91,712.937
92,444.46799999999996
93,722.958
94,718.9960000000001
95,729.801
96,729.2189999999998
97,658.064
98,718.5659999999999
99,710.539
100,657.1859999999999
101,651.671
102,720.9530000000001
103,593.576
104,725.179
105,707.0029999999999
106,674.6250000000001
107,690.643
108,681.847
109,727.8100000000001
110,747.876
111,744.6370000000001
112,730.539
113,753.839
114,747.01
115,735.196
116,714.937
117,751.2210000000001
118,749.501
119,746.844
120,738.185
121,759.506
122,735.561
123,751.406
124,760.5409999999999
125,767.751
126,758.493
127,626.4000000000001
128,745.3520000000001
129,735.664
130,768.593
131,763.512
132,769.9659999999999
133,710.2180000000001
134,630.6290000000001
135,766.1650000000001
136,774.783
137,783.008
138,769.165
139,764.345
140,781.705
141,777.1750000000001
142,721.9259999999999
143,647.289
144,754.6389999999999
145,766.1600000000001
146,785.6030000000001
147,757.7680000000001
148,768.877
149,781.4409999999999
150,784.8300000000002
151,782.4910000000001
152,642.2560000000001
153,567.912
154,782.326
155,791.014
156,760.0600000000001
157,787.1810000000002
158,751.576
159,756.868
160,783.546
161,791.8860000000001
162,787.3720000000001
163,784.69
164,775.0519999999999
165,786.7610000000001
166,798.69
167,631.593
168,793.9159999999999
169,723.99
170,786.509
171,792.3050000000001
172,779.0319999999999
173,733.624
174,780.8529999999998
175,796.549
176,714.182
177,793.2139999999999
178,728.953
179,795.9649999999999
180,757.933
