Array Size, Sustained Memory Bandwidth [GB/s]
10,36.882600000000004
11,47.8677
12,61.90669999999999
13,78.31400000000002
14,94.80780000000001
15,114.856
16,135.517
17,161.332
18,183.685
19,212.69299999999998
20,229.52100000000002
21,264.914
22,291.113
23,319.3010000000001
24,351.29599999999994
25,380.658
26,411.453
27,441.975
28,441.225
29,490.8549999999999
30,523.682
31,542.086
32,572.024
33,588.826
34,616.1769999999999
35,630.35
36,640.899
37,673.4260000000002
38,683.637
39,688.5590000000001
40,689.3149999999999
41,685.26
42,701.739
43,691.369
44,502.82699999999994
45,704.4060000000001
46,696.118
47,723.94
48,732.574
49,728.198
50,723.777
51,717.8439999999998
52,719.833
53,715.1090000000002
54,712.4860000000001
55,717.8979999999999
56,723.665
57,731.3989999999999
58,739.235
59,743.936
60,700.671
61,755.0049999999999
62,758.809
63,768.696
64,763.135
65,779.49
66,785.425
67,786.4970000000001
68,788.42
69,798.844
70,792.4939999999999
71,800.992
72,807.924
73,811.999
74,816.98
75,816.4220000000001
76,821.778
77,825.452
78,823.9109999999998
79,832.7760000000001
80,834.162
81,819.358
82,844.5530000000001
83,842.8319999999998
84,847.8979999999999
85,854.1940000000001
86,854.363
87,849.2
88,859.492
89,859.091
90,859.3560000000001
91,866.3960000000001
92,858.0440000000001
93,869.0469999999999
94,872.25
95,871.9350000000001
96,874.1069999999997
97,866.0269999999998
98,881.409
99,876.684
100,876.305
101,881.493
102,886.4800000000001
103,853.5120000000001
104,889.9350000000001
105,888.2399999999998
106,890.3040000000001
107,891.5269999999998
108,896.7630000000001
109,894.219
110,892.9199999999998
111,895.2019999999999
112,895.2049999999999
113,902.5559999999999
114,900.2909999999999
115,904.016
116,904.981
117,910.7829999999998
118,910.106
119,908.848
120,912.939
121,911.0
122,912.917
123,909.5749999999998
124,804.328
125,792.308
126,902.2729999999999
127,627.046
128,789.0909999999999
129,783.448
130,898.9459999999999
131,921.7
132,920.441
133,843.192
134,910.5959999999999
135,901.126
136,905.926
137,932.2970000000001
138,935.6720000000001
139,932.176
140,936.3629999999999
141,933.985
142,847.9870000000001
143,937.155
144,896.9879999999999
145,791.0220000000002
146,936.8640000000001
147,809.083
148,908.952
149,936.943
150,938.115
151,910.8
152,652.7700000000001
153,651.9390000000001
154,939.7310000000001
155,944.958
156,944.5699999999999
157,931.241
158,940.967
159,802.2069999999999
160,943.098
161,913.3599999999999
162,928.8520000000001
163,948.798
164,939.5779999999999
165,920.7710000000001
166,919.15
167,642.472
168,951.4280000000001
169,950.0899999999999
170,941.3209999999999
171,950.055
172,802.1210000000001
173,870.458
174,946.262
175,944.582
176,834.5409999999999
177,920.524
178,867.783
179,944.5780000000001
180,945.6740000000002
